annotation_id,annotator,car_type,created_at,id,image,lead_time,updated_at
572,1,suv,2026-01-25T17:55:17.370511Z,26321,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f0_c1.jpg,56.627,2026-01-26T14:05:21.741304Z
573,1,mpv,2026-01-25T17:55:22.574342Z,26322,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f0_c2.jpg,25.213,2026-01-26T13:08:57.828292Z
578,1,suv,2026-01-25T17:55:49.082774Z,26330,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10140_c620.jpg,15.307,2026-01-26T14:05:34.004494Z
579,1,mpv,2026-01-25T17:55:54.807840Z,26331,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10140_c621.jpg,12.687,2026-01-26T13:09:17.132975Z
580,1,suv,2026-01-25T17:55:58.116057Z,26332,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10200_c622.jpg,10.69,2026-01-26T14:05:37.553413Z
581,1,pickup,2026-01-25T17:56:01.944256Z,26333,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10200_c623.jpg,10.152,2026-01-26T06:01:59.822732Z
583,1,mpv,2026-01-25T17:56:11.711929Z,26336,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f1020_c51.jpg,6.573,2026-01-26T06:02:11.648068Z
584,1,mpv,2026-01-25T17:56:14.774646Z,26337,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f1020_c52.jpg,1.597,2026-01-25T17:56:14.774710Z
585,1,suv,2026-01-25T17:56:19.600588Z,26339,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10260_c625.jpg,13.492,2026-01-26T14:05:48.987384Z
587,1,suv,2026-01-25T17:56:27.733244Z,26341,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10320_c627.jpg,12.758,2026-01-26T05:47:17.485609Z
589,1,suv,2026-01-25T17:57:13.457356Z,26343,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10320_c629.jpg,14.257,2026-01-26T14:05:58.200054Z
663,1,mpv,2026-01-26T05:47:38.685866Z,26346,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10380_c632.jpg,7.904,2026-01-26T14:06:07.184823Z
593,1,mpv,2026-01-25T17:57:38.662229Z,26347,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10440_c633.jpg,19.2,2026-01-26T13:09:51.762940Z
592,1,mpv,2026-01-25T17:57:34.773442Z,26350,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10500_c636.jpg,22.831,2026-01-26T13:09:58.589076Z
594,1,mpv,2026-01-25T17:57:44.141203Z,26351,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10500_c637.jpg,24.584,2026-01-26T13:10:14.765594Z
989,1,mpv,2026-01-26T13:10:18.920222Z,26352,/data/local-files/?d=label_studio_data/images/aa-bandung_car_f10500_c638.jpg,2.213,2026-01-26T13:10:18.920273Z
