epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.609,1.45806,1.31636,1.2259,0.72049,0.55813,0.64217,0.39277,1.5114,1.32966,1.24814,0.000333006,0.000333006,0.0670324
2,404.095,1.52194,1.27677,1.27098,0.73589,0.58017,0.66523,0.42497,1.46267,1.2965,1.22937,0.000650195,0.000650195,0.0340163
3,590.045,1.45865,1.21351,1.23862,0.74828,0.60866,0.69222,0.44981,1.4053,1.25451,1.1986,0.000905167,0.000905167,0.000937943
4,775.459,1.40081,1.13681,1.20135,0.75769,0.62918,0.71408,0.4797,1.36987,1.08909,1.17236,0.000795954,0.000795954,0.000795954
5,960.321,1.35109,1.0839,1.17103,0.79236,0.64227,0.72847,0.49544,1.32993,1.08766,1.16227,0.000657963,0.000657963,0.000657963
6,1145.24,1.30022,1.02998,1.14694,0.78174,0.65502,0.74609,0.51245,1.31498,1.02054,1.15185,0.000505,0.000505,0.000505
7,1330.35,1.27124,0.98553,1.12957,0.77718,0.65068,0.75036,0.51778,1.2955,1.02193,1.1397,0.000352037,0.000352037,0.000352037
8,1515.54,1.23379,0.94874,1.11239,0.81157,0.65785,0.7595,0.53228,1.25916,0.99659,1.12305,0.000214046,0.000214046,0.000214046
9,1700.67,1.2198,0.92409,1.09907,0.81514,0.66223,0.76271,0.53846,1.25441,0.98683,1.11738,0.000104537,0.000104537,0.000104537
10,1885.75,1.20666,0.9117,1.09348,0.79848,0.66337,0.76345,0.54219,1.24636,0.97925,1.115,3.4227e-05,3.4227e-05,3.4227e-05
