epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,546.086,0.8293,0.72965,0.27054,0.27162,0.19719,0.16018,0.06123,0.9729,0.72515,0.42124,0.000166503,0.000166503,0.0668659
2,1082.94,0.75627,0.63101,0.22582,0.74058,0.46011,0.50473,0.30863,0.60837,0.71941,0.22919,0.000332661,0.000332661,0.0336988
3,1621.73,0.56477,0.67615,0.19031,0.65992,0.51682,0.54182,0.35323,0.52364,0.80883,0.23202,0.00049679,0.00049679,0.000529566
4,2160.89,0.53269,0.6645,0.18348,0.72532,0.59688,0.66125,0.44724,0.46023,0.66452,0.16827,0.000493162,0.000493162,0.000493162
5,2702.16,0.51084,0.63829,0.17187,0.72897,0.61208,0.67074,0.44872,0.47444,0.62264,0.18441,0.000487886,0.000487886,0.000487886
6,3241.15,0.50171,0.62492,0.16652,0.74501,0.6161,0.67965,0.45499,0.46423,0.62388,0.18664,0.00048116,0.00048116,0.00048116
7,3779.84,0.49246,0.60681,0.16046,0.76335,0.5984,0.67907,0.46186,0.45099,0.63533,0.17911,0.000473024,0.000473024,0.000473024
8,4317.95,0.48707,0.60348,0.15779,0.79236,0.64374,0.72361,0.49114,0.45036,0.58725,0.1691,0.000463528,0.000463528,0.000463528
9,4859.9,0.47832,0.58746,0.15488,0.76394,0.65464,0.72388,0.49958,0.43499,0.59691,0.15877,0.000452732,0.000452732,0.000452732
10,5418.26,0.47302,0.58312,0.15476,0.75785,0.64552,0.72526,0.49741,0.44497,0.57538,0.17852,0.0004407,0.0004407,0.0004407
11,5966.15,0.47153,0.57415,0.15161,0.77619,0.66015,0.72677,0.4951,0.44628,0.58031,0.17959,0.000427509,0.000427509,0.000427509
12,6505.49,0.45928,0.56363,0.1472,0.75959,0.67553,0.73869,0.50785,0.42867,0.58116,0.15615,0.000413238,0.000413238,0.000413238
13,7046.67,0.45921,0.55808,0.14772,0.7633,0.66038,0.73014,0.50344,0.43318,0.58558,0.16364,0.000397977,0.000397977,0.000397977
14,7583.98,0.45561,0.54694,0.14552,0.78698,0.67059,0.7456,0.51406,0.41845,0.58388,0.14998,0.000381818,0.000381818,0.000381818
