epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,521.148,0.42338,0.5829,0.13735,0.86658,0.80881,0.89643,0.80609,0.15767,0.442,0.04779,0.00199733,0.000665775,0.00199733,0.000665775,0.00199733,0.000665775,0.00199733,0.000665775
2,1001.53,0.34231,0.48923,0.08305,0.87065,0.82647,0.9057,0.80857,0.16188,0.42114,0.04378,0.00399342,0.00133114,0.00399342,0.00133114,0.00399342,0.00133114,0.00399342,0.00133114
3,1493.23,0.39004,0.48632,0.08034,0.8735,0.80964,0.89682,0.74881,0.22839,0.44149,0.0477,0.00597392,0.00199131,0.00597392,0.00199131,0.00597392,0.00199131,0.00597392,0.00199131
4,1962.22,0.46049,0.48535,0.08341,0.8746,0.81606,0.90123,0.60839,0.37307,0.47346,0.05655,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246
5,2430.65,0.48101,0.47975,0.0825,0.85717,0.82679,0.90314,0.74206,0.24323,0.44631,0.04808,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689
6,2900.61,0.46309,0.47449,0.07999,0.85934,0.83101,0.90611,0.75343,0.22583,0.42682,0.04531,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155
7,3374.59,0.49559,0.47133,0.08138,0.85923,0.84219,0.91226,0.79537,0.18203,0.4237,0.04159,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048
8,3837.88,0.45468,0.46811,0.07834,0.86757,0.83401,0.91038,0.75046,0.22684,0.43622,0.04575,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578
9,4300.91,0.42208,0.46441,0.07438,0.87464,0.84076,0.91654,0.81869,0.16133,0.40143,0.04023,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754
10,4773.96,0.44323,0.46338,0.07565,0.87266,0.83987,0.91381,0.79105,0.18561,0.42265,0.04175,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588
11,5231.75,0.43412,0.46148,0.07375,0.87388,0.83969,0.91323,0.79881,0.17977,0.41606,0.0409,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093
12,5691.07,0.40631,0.45936,0.07126,0.87713,0.84156,0.91593,0.79993,0.18003,0.40458,0.04099,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281
13,6150.14,0.3947,0.45554,0.06901,0.87863,0.84179,0.91588,0.80617,0.17568,0.39984,0.04061,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168
14,6611.04,0.36924,0.45088,0.06696,0.88225,0.84312,0.91665,0.79859,0.17975,0.39546,0.0413,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877
15,7078.57,0.35267,0.44409,0.06464,0.8859,0.84651,0.91983,0.81868,0.16398,0.383,0.03947,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105
16,7544.41,0.36676,0.44675,0.06522,0.88775,0.84606,0.92177,0.80757,0.17681,0.39102,0.04044,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191
17,8004.29,0.36403,0.44335,0.06507,0.8866,0.8496,0.92154,0.82569,0.15772,0.3789,0.03926,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047
18,8489.74,0.34394,0.43935,0.06238,0.8878,0.84881,0.92086,0.81366,0.17115,0.38896,0.04009,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694
19,8953.49,0.32839,0.43439,0.06095,0.89049,0.84494,0.92294,0.82366,0.16162,0.38101,0.03947,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152
20,9414.6,0.33813,0.43564,0.06164,0.88633,0.84685,0.92091,0.81035,0.17434,0.38071,0.0403,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444
21,9875.56,0.33469,0.43582,0.06131,0.88608,0.84821,0.92134,0.8181,0.16661,0.38166,0.03924,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593
22,10334.8,0.31292,0.42852,0.05918,0.889,0.84902,0.92224,0.82751,0.1576,0.37321,0.0389,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562
23,10809.7,0.3095,0.42651,0.05855,0.88605,0.85164,0.92352,0.83502,0.15031,0.37101,0.038,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551
24,11291.8,0.30084,0.42265,0.05729,0.89008,0.85146,0.9241,0.83351,0.15199,0.36769,0.03836,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408
25,11758.1,0.29563,0.42187,0.05715,0.8913,0.85013,0.9241,0.83326,0.15333,0.36541,0.03868,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216
26,12221.2,0.29326,0.41854,0.05685,0.89248,0.8518,0.92591,0.83167,0.15642,0.36733,0.03873,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,12677.1,0.28092,0.41386,0.05603,0.89209,0.85358,0.92629,0.83939,0.14808,0.36232,0.0381,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837
28,13152.8,0.27424,0.41086,0.05525,0.89201,0.85245,0.92543,0.83697,0.15046,0.36203,0.03831,0.00265776,0.00088592,0.00265776,0.00088592,0.00265776,0.00088592,0.00265776,0.00088592
29,13621.4,0.26908,0.40882,0.0548,0.89518,0.8533,0.92689,0.84131,0.14696,0.36033,0.03768,0.00247348,0.000824492,0.00247348,0.000824492,0.00247348,0.000824492,0.00247348,0.000824492
30,14096.5,0.26313,0.40483,0.05383,0.89298,0.85336,0.92674,0.83986,0.14944,0.36009,0.03819,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797
31,14555.9,0.26048,0.40436,0.05401,0.8959,0.85459,0.92843,0.84206,0.14771,0.35851,0.03781,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073
32,15030,0.25379,0.39982,0.0533,0.89336,0.85511,0.9279,0.84331,0.14678,0.35676,0.03804,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557
33,15512.4,0.25037,0.39864,0.05277,0.89413,0.85593,0.92807,0.84278,0.14778,0.35717,0.0383,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479
