epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,291.393,0.75311,0.71775,0.93755,0.93411,0.82319,0.94255,0.87428,0.43641,0.49473,0.86773,0.00199732,0.000665773,0.00199732,0.000665773,0.00199732,0.000665773,0.00199732,0.000665773
2,544.46,0.66944,0.52789,0.90354,0.90155,0.89737,0.95877,0.88842,0.43718,0.40488,0.85495,0.00399341,0.00133114,0.00399341,0.00133114,0.00399341,0.00133114,0.00399341,0.00133114
3,789.48,0.64987,0.50558,0.89416,0.9107,0.89217,0.9577,0.88342,0.46415,0.40972,0.85849,0.00597391,0.0019913,0.00597391,0.0019913,0.00597391,0.0019913,0.00597391,0.0019913
4,1029.35,0.62627,0.48112,0.88653,0.91026,0.88962,0.95834,0.88609,0.4608,0.40262,0.85502,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246
5,1269.21,0.61698,0.4682,0.88115,0.90662,0.89182,0.95554,0.88465,0.4532,0.4021,0.84965,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689,0.00590669,0.0019689
6,1509.36,0.6016,0.45096,0.87654,0.90465,0.90185,0.96052,0.89124,0.45767,0.38419,0.85147,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155
7,1751,0.59359,0.43951,0.87413,0.91636,0.89144,0.96033,0.89295,0.44614,0.38295,0.84778,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048
8,1992.42,0.58805,0.43308,0.87145,0.91604,0.8981,0.96293,0.89566,0.45064,0.37484,0.8481,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578
9,2234.39,0.58322,0.42878,0.86785,0.92187,0.8946,0.96316,0.89601,0.44718,0.37022,0.84807,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754
10,2476.52,0.5789,0.42089,0.86748,0.91857,0.89946,0.96307,0.89684,0.44299,0.3714,0.84614,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588
11,2719.04,0.56661,0.40842,0.86367,0.91643,0.90098,0.96198,0.89655,0.4404,0.3679,0.84521,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093
12,2958.87,0.56157,0.40528,0.86269,0.92424,0.89771,0.96444,0.89841,0.44331,0.36764,0.84653,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281
13,3202.45,0.55982,0.40244,0.86138,0.92289,0.90651,0.96601,0.90166,0.43611,0.35609,0.84313,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168
14,3451.6,0.555,0.39787,0.85794,0.9235,0.90684,0.96673,0.9029,0.43403,0.35089,0.84226,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877
15,3698.54,0.55327,0.39297,0.85738,0.92443,0.90757,0.96679,0.90433,0.4315,0.34907,0.84223,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105
16,3945.47,0.54683,0.38542,0.85523,0.92538,0.90864,0.96808,0.90476,0.43336,0.34669,0.84119,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191
17,4189.66,0.54448,0.38331,0.85282,0.92923,0.90551,0.96799,0.90502,0.43268,0.34623,0.84133,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047
18,4433.05,0.53953,0.38138,0.85368,0.93014,0.90249,0.96769,0.90502,0.43284,0.34543,0.84012,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694
19,4676.54,0.53687,0.37831,0.85436,0.92623,0.9093,0.96837,0.90859,0.42304,0.34072,0.83919,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152
20,4919.5,0.53213,0.37314,0.85136,0.92988,0.91027,0.96921,0.90907,0.42208,0.33562,0.83993,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444
21,5168.1,0.52905,0.36903,0.85003,0.92682,0.91597,0.97015,0.91129,0.4174,0.32982,0.83848,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593
22,5416.08,0.52555,0.3644,0.8495,0.92877,0.91381,0.96994,0.91096,0.41837,0.33251,0.83752,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562
23,5655.89,0.52406,0.35942,0.84825,0.92987,0.91378,0.96967,0.91114,0.41712,0.33107,0.83764,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551
24,5895.76,0.51839,0.35643,0.84604,0.93119,0.91613,0.97038,0.91268,0.41469,0.32836,0.83611,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408
25,6139.39,0.51275,0.3558,0.84649,0.92898,0.91736,0.97087,0.91423,0.41064,0.3251,0.83704,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216
26,6383.8,0.51158,0.35481,0.84473,0.93089,0.9136,0.97053,0.91255,0.41219,0.32703,0.83685,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
